index,season,first_cycling_race_id,position,first_cycling_rider_id,gc_time,stage,gc_time_leader,bib_number,first_cycling_team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
81,2023,677,82,77092,NaN,GC,+ 18:55,114 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
82,2023,677,83,187532,NaN,GC,+ 19:54,124 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
83,2023,677,84,33706,NaN,GC,+ 25:07,133 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
84,2023,677,85,54571,NaN,GC,+ 26:15,122 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
85,2023,677,86,110950,NaN,GC,+ 30:28,36 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
86,2023,677,87,104675,NaN,GC,+ 32:07,181 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
87,2023,677,88,43886,NaN,GC,+ 36:42,135 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
88,2023,677,DNF,56640,NaN,GC,,6 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
89,2023,677,DNF,43956,NaN,GC,,1 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
90,2023,677,DNF,206316,NaN,GC,,115 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
91,2023,677,DNF,191957,NaN,GC,,111 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
92,2023,677,DNF,190260,NaN,GC,,113 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
93,2023,677,DNF,192894,NaN,GC,,116 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
94,2023,677,DNF,180405,NaN,GC,,172 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
95,2023,677,DNF,48974,NaN,GC,,25 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
96,2023,677,DNF,73685,NaN,GC,,132 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
97,2023,677,DNF,112501,NaN,GC,,95 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
98,2023,677,DNF,65143,NaN,GC,,96 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
99,2023,677,DNF,25098,NaN,GC,,45 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
100,2023,677,DNF,33675,NaN,GC,,43 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
101,2023,677,DNF,82655,NaN,GC,,73 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
102,2023,677,DNF,43879,NaN,GC,,75 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
103,2023,677,DNF,35763,NaN,GC,,71 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
104,2023,677,DNF,43917,NaN,GC,,121 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
105,2023,677,DNF,206317,NaN,GC,,126 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
106,2023,677,DNF,196753,NaN,GC,,123 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
107,2023,677,DNF,50717,NaN,GC,,16 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
108,2023,677,DNF,72957,NaN,GC,,104 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
109,2023,677,DNF,61823,NaN,GC,,105 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
110,2023,677,DNF,45420,NaN,GC,,102 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
111,2023,677,DNF,123101,NaN,GC,,84 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
112,2023,677,DNF,43913,NaN,GC,,82 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
113,2023,677,DNF,196729,NaN,GC,,86 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
114,2023,677,DNF,56001,NaN,GC,,83 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
115,2023,677,DNF,43900,NaN,GC,,55 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
116,2023,677,DNF,181009,NaN,GC,,155 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
117,2023,677,DNF,72926,NaN,GC,,152 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
118,2023,677,DNF,88476,NaN,GC,,184 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
119,2023,677,DNF,111672,NaN,GC,,62 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
120,2023,677,DNF,78072,NaN,GC,,66 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
121,2023,677,DNF,6567,NaN,GC,,141 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
122,2023,677,DNF,206318,NaN,GC,,144 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
123,2023,677,DNF,196728,NaN,GC,,143 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
124,2023,677,DNF,74618,NaN,GC,,206 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
125,2023,677,DNF,30063,NaN,GC,,195 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
