season,team_id,team_name,uci_division
2023,34105,Terengganu Polygon Cycling Team,Men's Conti
2023,35019,Thailand Continental Cycling Team,Men's Conti
2023,35023,The Hurricane &amp; Thunder Cycling Team,Men's Conti
2023,35022,Tianyoude Hotel Cycling Team,Men's Conti
2023,32906,Tirol KTM Cycling Team,Men's Conti
2023,34999,Toronto Hustle,Men's Conti
2023,34155,Trinity Racing,Men's Conti
2023,33801,Tudor Pro Cycling Team U23,Men's Conti
2023,34364,Tufo-Pardus Prostejov,Men's Conti
2023,35024,UijeongBu Cycling Team,Men's Conti
2023,34210,Universe Cycling Team,Men's Conti
2023,31697,Uno-X DARE Development Team,Men's Conti
2023,33291,Utsunomiya Blitzen,Men's Conti
2023,33298,Van Rysel-Roubaix Lille Métropole,Men's Conti
2023,34261,VC Fukuoka,Men's Conti
2023,33946,Victoire Hiroshima,Men's Conti
2023,35001,Vino SKO Team,Men's Conti
2023,33297,VolkerWessels Cycling Team,Men's Conti
2023,35011,Voltas-Madaris Cycling Team,Men's Conti
2023,28560,Voster ATS Team,Men's Conti
2023,35010,Work Service-Vitalcare-Dynatek,Men's Conti
2023,34779,WSA KTM Graz p/b Leomo,Men's Conti
2023,35026,Wuzhishan Cycling Team,Men's Conti
2023,33266,XSpeed United Continental,Men's Conti
2023,35025,Yunnan Lvshan Landscape,Men's Conti
2023,33483,Zalf Euromobil Fior,Men's Conti
2023,39262,,Men's Junior
2023,37092,Army Cycling Union,Men's Junior
2023,36597,Bike Works pb Fred Bean,Men's Junior
2023,34625,Black House Racing,Men's Junior
2023,38156,CK Master,Men's Junior
2023,38544,CK Valhall,Men's Junior
2023,38132,Dobeles dzirnavnieks-FeelFree,Men's Junior
2023,40376,Indet Trujillo,Men's Junior
2023,36384,Nariño Tierra Ciclistas,Men's Junior
2023,36092,PCE Teno,Men's Junior
2023,37972,Red Truck Racing pb Mosaic,Men's Junior
2023,36605,Santos Fupes,Men's Junior
2023,39304,Spaces CT,Men's Junior
2023,37710,Spectrum Racing,Men's Junior
2023,36313,U.S.Kacemien,Men's Junior
2023,36754,503,Men's Junior
2023,36875,110 Cyclisme Illzach,Men's Junior
2023,40228,24 Tri Cycling Team,Men's Junior
2023,39780,2ND Bike,Men's Junior
2023,37260,3 de Febrero-Colla,Men's Junior
2023,35214,305 Cycle,Men's Junior
2023,36063,33 Bike Mobel Proteam,Men's Junior
2023,38282,360 Agency-Cycles Regis,Men's Junior
2023,38624,360Cycling,Men's Junior
2023,34714,501 Valvoline,Men's Junior
2023,38098,54x11,Men's Junior
2023,34719,620 Chau Thoi Vinh Long,Men's Junior
2023,37551,7C-Economy Lacoinex,Men's Junior
2023,37952,a Team,Men's Junior
2023,38679,A.Ajyal C.Tetouan,Men's Junior
2023,38324,A.C.Azemmour,Men's Junior
2023,36327,A.C.Belmontaise,Men's Junior
2023,36540,A.C.Chimaltenango,Men's Junior
2023,34689,A.C.Deolinda Correa-San Martin,Men's Junior
2023,36949,A.C.Griega,Men's Junior
2023,38536,A.C.Huehuetenango,Men's Junior
2023,39476,A.C.O.R Chilecito,Men's Junior
2023,36405,A.C.Ova CT,Men's Junior
2023,36544,A.C.San Marcos-Acredicom,Men's Junior
2023,36349,A.C.Sineu,Men's Junior
2023,38048,A.C.Solola-Intercop,Men's Junior
2023,36283,A.C.Tanger,Men's Junior
2023,38323,A.C.Taroudant,Men's Junior
2023,37419,A.Fawcett Racing,Men's Junior
2023,36286,A.J.Ouazzane de C.,Men's Junior
2023,36664,A.Lions JO Ouezzani,Men's Junior
2023,37104,A.O.Aiolos,Men's Junior
2023,37103,A.O.Thiseas,Men's Junior
2023,37267,A.R. Monex Pro Cycling Team,Men's Junior
2023,36414,A.R.Ciclismo Oiense-Escuela Estevez,Men's Junior
2023,37110,A.S.Alfa K,Men's Junior
2023,37177,A.S.Bessel,Men's Junior
2023,36291,A.S.Lions de Marrakech,Men's Junior
2023,36293,A.S.Salaoui,Men's Junior
2023,37178,A.S.Sonabel,Men's Junior
2023,36441,A.S.Villemur,Men's Junior
2023,36294,A.U.Benslimane,Men's Junior
2023,36296,A.V.Atlas Azrou,Men's Junior
2023,37447,AAC Tifelt,Men's Junior
2023,38709,Aalborg Cykle-Ring,Men's Junior
2023,38707,Aarhus SC,Men's Junior
2023,38367,ABC Daysa American Five,Men's Junior
2023,38698,ABC Zapatitos,Men's Junior
2023,40213,ABEC - Rio Claro,Men's Junior
2023,36577,Above and Beyond Cancer p/b World,Men's Junior
2023,34979,Abu Dhabi CC,Men's Junior
2023,38365,AC Amienoise,Men's Junior
2023,36325,AC Bas-Berry,Men's Junior
2023,36326,AC Bayeux,Men's Junior
