season,gender,race_id,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,race_tag
2023,Men,10,La Flèche Wallonne,Road,BE,1.UWT,One Day,2023/04/19,2023/04/19,
2023,Men,366,Pan-America RR-U23,Road,,CCU,One Day,2023/04/22,2023/04/22,
2023,Men,365,Pan-America RR,Road,,CCRR,One Day,2023/04/23,2023/04/23,
2023,Men,11,Liege-Bastogne-Liege,Road,BE,1.UWT,One Day,2023/04/23,2023/04/23,Monument
2023,Men,521,Rutland - Melton Classic,Road,GB,1.2,One Day,2023/04/23,2023/04/23,
2023,Men,312,GP Liberazione,Road,IT,1.2U,One Day,2023/04/25,2023/04/25,
2023,Men,82,Tour de Bretagne,Road,FR,2.2,Stage Race,2023/04/25,2023/05/01,
2023,Men,12,Tour de Romandie,Road,CH,2.UWT,Stage Race,2023/04/25,2023/04/30,
2023,Men,239,Tour of the Gila,Road,US,2.2,Stage Race,2023/04/26,2023/04/30,
2023,Men,153,Vuelta a Asturias,Road,ES,2.1,Stage Race,2023/04/28,2023/04/30,
2023,Men,314,Carpathian Race,Road,PL,2.2U,Stage Race,2023/04/29,2023/05/03,
2023,Men,1047,GP Vorarlberg,Road,AT,1.2,One Day,2023/04/30,2023/04/30,
2023,Men,535,Circuito del Porto,Road,IT,1.2,One Day,2023/05/01,2023/05/01,
2023,Men,252,Eschborn-Frankfurt,Road,DE,1.2U,One Day,2023/05/01,2023/05/01,
2023,Men,35,Eschborn-Frankfurt,Road,DE,1.UWT,One Day,2023/05/01,2023/05/01,
2023,Men,6156,Tour du Bénin,Road,BJ,2.2,Stage Race,2023/05/02,2023/05/06,
2023,Men,513,Tour of Hellas,Road,GR,2.1,Stage Race,2023/05/02,2023/05/06,
2023,Men,3672,Vuelta a Catamarca,Road,AR,2.2,Stage Race,2023/05/04,2023/05/07,
2023,Men,180,GP de Plumelec-Morbihan,Road,FR,1.Pro,One Day,2023/05/06,2023/05/06,
2023,Men,577,Ronde van Overijssel,Road,NL,1.2,One Day,2023/05/06,2023/05/06,
2023,Men,73,Sundvolden GP,Road,NO,1.2,One Day,2023/05/06,2023/05/06,
2023,Men,13,Giro d'Italia,Road,IT,2.UWT,Stage Race,2023/05/06,2023/05/28,Grand Tour
2023,Men,554,Flèche Ardennaise,Road,BE,1.2,One Day,2023/05/07,2023/05/07,
2023,Men,49,Ringerike GP,Road,NO,1.2,One Day,2023/05/07,2023/05/07,
2023,Men,148,Tro-Bro Leon,Road,FR,1.Pro,One Day,2023/05/07,2023/05/07,
2023,Men,41,Paris - Roubaix Espoirs,Road,FR,1.2U,One Day,2023/05/07,2023/05/07,
2023,Men,20782,The Tour Oqtosh - Chorvoq - Mountain I,Road,UZ,1.2,One Day,2023/05/10,2023/05/10,
2023,Men,765,Tour de Hongrie,Road,HU,2.Pro,Stage Race,2023/05/10,2023/05/14,
2023,Men,20783,The Tour Oqtosh - Chorvoq - Mountain II,Road,UZ,1.2,One Day,2023/05/11,2023/05/11,
2023,Men,17336,Vuelta a Formosa Internacional,Road,AR,2.2,Stage Race,2023/05/11,2023/05/14,
2023,Men,527,SEA Games RR,Road,,RCRR,One Day,2023/05/12,2023/05/12,
2023,Men,72,GP Herning,Road,DK,1.2,One Day,2023/05/13,2023/05/13,
2023,Men,19320,Tour of Bostonliq I,Road,UZ,1.2,One Day,2023/05/13,2023/05/13,
2023,Men,147,Tour du Finistère,Road,FR,1.1,One Day,2023/05/13,2023/05/13,
2023,Men,182,Boucles de l'Aulne,Road,FR,1.1,One Day,2023/05/14,2023/05/14,
2023,Men,736,Fyen Rundt,Road,DK,1.2,One Day,2023/05/14,2023/05/14,
