season,race_name,gender,name,team, link
2025,British Nat Champs RR,Men, Alex Ball, BCC,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Charlie Genner, Telcom-On Clima-Osés,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Cameron Still, Ride Revolution,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Danylo Riwnyj, Foran CC,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Tom Willimas, Monzon-Incolor-Gub,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Adam Lewis, Skyline,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, George Radcliffe, X-Speed United,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Ben Granger,MG.K vis Costruzioni Ambiente,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Alex Peters,DAS-Richardson,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/
2025,British Nat Champs RR,Men, Matthew Holmes,OGT,https://thebritishcontinental.co.uk/2025/06/28/national-road-championships-road-race-domestic-riders-to-watch/

2025,British Nat Champs Crit,Women, Megan Barker, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Josie Knight, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Sophie Lewis, Das-Hutchinson,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Neah Evans, Alba,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Maddie Leach, Alba,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Kate Richardson, Alba,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Amy Gornall, Alba,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Mari Porton, Alba,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Robyn Clay, Das-Hutchinson,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Lucy Lee, Das-Hutchinson,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Isabel Darvill, CJ O'Shea,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Lucy Glover, Smurfit,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Jo Tindley, Smurfit,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Amy Perryman,,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Charlotte Broughton-Kulset, Torelli,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Women, Georgina Oakley, Loughborough Lightning,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/

2025,British Nat Champs Crit,Men, Alec Briggs, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Matt Bostock, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Ollie Wood, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Milo Wills, Tekkerz,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Tim Shoreman, Wheelbase,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Tom Armstrong, Wheelbase,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Dylan Hicks, Raptor,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Frank Longstaff, DAS-Richardson,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Will Perrett, DAS-Richardson,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, George Kimber, Spirit,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Will Roberts, Dolan,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Rhys Britton, Dolan,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Will Tidball,,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Ben Chilton, Mayenne-V and B-Monbana,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/
2025,British Nat Champs Crit,Men, Jim Brown,Golden State Blazers,https://thebritishcontinental.co.uk/2025/06/27/2025-national-circuit-race-championships-domestic-riders-to-watch/

2025,British Nat Champs TT U23,Men, Tomos Pattinson,Visma Dev,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Ben Wiggins,Jayco Dev,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Jamie Whitcher,BmthCycleworks VitecFire FordCE,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Tyler Hannay,,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Josh Charlton,GBCT,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Alex Pickering,Ride Revolution,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Alex Beldon,Muc-Off,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Adam Howell,Muc-Off,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Men, Cormac Nisbet,,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/

2025,British Nat Champs TT U23,Women, Cat Ferguson,Movistar,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Women, Noèmie Thomson,Brother-OnForm,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Women, Robyn Clay,DAS-Hutchinson,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Women, Holly Ramsey,HESS,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT U23,Women, Maddie Leach,Alba,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/

2025,British Nat Champs TT,Women, Anna Morris,GBCT,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Women, Emily Martin,Botrill,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Women, Tammy Miller,Das-Hutchinson,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Women, Lucy Lee,Das-Hutchinson,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Women, Lauren Dickson,Alba,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Women, Kate Richardson,Alba,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/

2025,British Nat Champs TT,Men, Michael Gill,DAS-Richardson,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Men, Rowan Baker,Raptor,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Men, Ben Pearse,Moonglu,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Men, Tim Torrie,Defined,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
2025,British Nat Champs TT,Men, Dom Jackson,Foran,https://thebritishcontinental.co.uk/2025/06/25/national-time-trial-championships-domestic-riders-to-watch/
