Event ID,Race Name,RSL Discipline,Position,RSL Points
314011,Beaumont Trophy,Road Race,7,18
314011,Beaumont Trophy,Road Race,8,16
314011,Beaumont Trophy,Road Race,9,14
314011,Beaumont Trophy,Road Race,10,12
314011,Beaumont Trophy,Road Race,11,10
314011,Beaumont Trophy,Road Race,12,8
314011,Beaumont Trophy,Road Race,13,6
314011,Beaumont Trophy,Road Race,14,5
314011,Beaumont Trophy,Road Race,15,5
314011,Beaumont Trophy,Road Race,16,5
314011,Beaumont Trophy,Road Race,17,4
314011,Beaumont Trophy,Road Race,18,3
314011,Beaumont Trophy,Road Race,19,2
314011,Beaumont Trophy,Road Race,20,1

557125,Cambridge Crit,Crit,1,55
557125,Cambridge Crit,Crit,2,45
557125,Cambridge Crit,Crit,3,35
557125,Cambridge Crit,Crit,4,30
557125,Cambridge Crit,Crit,5,20
557125,Cambridge Crit,Crit,6,16
557125,Cambridge Crit,Crit,7,14
557125,Cambridge Crit,Crit,8,12
557125,Cambridge Crit,Crit,9,10
557125,Cambridge Crit,Crit,10,8
557125,Cambridge Crit,Crit,11,5
557125,Cambridge Crit,Crit,12,4
557125,Cambridge Crit,Crit,13,3
557125,Cambridge Crit,Crit,14,2
557125,Cambridge Crit,Crit,15,1
557125,Cambridge Crit,Crit,16,0
557125,Cambridge Crit,Crit,17,0
557125,Cambridge Crit,Crit,18,0
557125,Cambridge Crit,Crit,19,0
557125,Cambridge Crit,Crit,20,0
317733,Wentwood Woodhouse GP,Road Race,1,70
317733,Wentwood Woodhouse GP,Road Race,2,55
317733,Wentwood Woodhouse GP,Road Race,3,45
317733,Wentwood Woodhouse GP,Road Race,4,35
317733,Wentwood Woodhouse GP,Road Race,5,30
317733,Wentwood Woodhouse GP,Road Race,6,20
317733,Wentwood Woodhouse GP,Road Race,7,18
317733,Wentwood Woodhouse GP,Road Race,8,16
317733,Wentwood Woodhouse GP,Road Race,9,14
317733,Wentwood Woodhouse GP,Road Race,10,12
317733,Wentwood Woodhouse GP,Road Race,11,10
317733,Wentwood Woodhouse GP,Road Race,12,8
317733,Wentwood Woodhouse GP,Road Race,13,6
317733,Wentwood Woodhouse GP,Road Race,14,5
317733,Wentwood Woodhouse GP,Road Race,15,5
317733,Wentwood Woodhouse GP,Road Race,16,5
317733,Wentwood Woodhouse GP,Road Race,17,4
317733,Wentwood Woodhouse GP,Road Race,18,3
317733,Wentwood Woodhouse GP,Road Race,19,2
317733,Wentwood Woodhouse GP,Road Race,20,1
